seed,success_a,ep_len_a,agent_energy_sum_a,agent_load_sum_a,agent_energy_mean_a,agent_load_mean_a,oracle_min_load_sum_a,oracle_min_energy_sum_a,oracle_shortest_len_a,detour_a,feasible_a,success_b,ep_len_b,agent_energy_sum_b,agent_load_sum_b,agent_energy_mean_b,agent_load_mean_b,oracle_min_load_sum_b,oracle_min_energy_sum_b,oracle_shortest_len_b,detour_b,feasible_b,d_energy,d_load,d_detour
51,True,12,3.0,0.0,0.25,0.0,0.0,0.0,12.0,0.0,False,True,12,2.0,0.2276908457279206,0.16666666666666666,0.01897423714399338,0.0,0.0,12.0,0.0,False,0.08333333333333334,-0.01897423714399338,0.0
52,True,13,2.0,0.9925746619701385,0.15384615384615385,0.07635189707462604,0.0,0.0,13.0,0.0,False,True,13,0.0,0.23904970288276678,0.0,0.01838843868328975,0.0,0.0,13.0,0.0,True,0.15384615384615385,0.05796345839133629,0.0
53,True,12,4.0,1.8768062293529513,0.3333333333333333,0.15640051911274594,0.0,1.0,12.0,0.0,False,True,12,1.0,1.4206716120243073,0.08333333333333333,0.1183893010020256,0.0,1.0,12.0,0.0,False,0.25,0.038011218110720335,0.0
54,True,11,6.0,0.8478228449821472,0.5454545454545454,0.07707480408928612,0.0,1.0,11.0,0.0,False,True,11,1.0,0.0,0.09090909090909091,0.0,0.0,1.0,11.0,0.0,True,0.4545454545454545,0.07707480408928612,0.0
55,True,12,2.0,0.0,0.16666666666666666,0.0,0.0,1.0,12.0,0.0,False,True,12,1.0,0.0,0.08333333333333333,0.0,0.0,1.0,12.0,0.0,True,0.08333333333333333,0.0,0.0
56,True,12,2.0,0.0,0.16666666666666666,0.0,0.0,1.0,12.0,0.0,False,True,12,1.0,0.0,0.08333333333333333,0.0,0.0,1.0,12.0,0.0,True,0.08333333333333333,0.0,0.0
57,True,12,2.0,1.3533908426761627,0.16666666666666666,0.11278257022301356,0.0,0.0,12.0,0.0,False,True,12,2.0,1.6132411062717438,0.16666666666666666,0.13443675885597864,0.0,0.0,12.0,0.0,False,0.0,-0.021654188632965074,0.0
58,True,13,1.0,0.20931771397590643,0.07692307692307693,0.016101362613531265,0.0,1.0,13.0,0.0,True,True,13,1.0,0.20931771397590643,0.07692307692307693,0.016101362613531265,0.0,1.0,13.0,0.0,True,0.0,0.0,0.0
59,True,13,0.0,2.9347792267799377,0.0,0.22575224821384138,0.0,0.0,13.0,0.0,False,True,13,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,True,0.0,0.22575224821384138,0.0
60,True,10,3.0,0.6025412976741793,0.3,0.06025412976741793,0.0,1.0,10.0,0.0,False,True,10,2.0,0.0,0.2,0.0,0.0,1.0,10.0,0.0,False,0.09999999999999998,0.06025412976741793,0.0
61,True,11,1.0,0.0,0.09090909090909091,0.0,0.0,0.0,11.0,0.0,True,True,11,1.0,0.5768113434314728,0.09090909090909091,0.052437394857406616,0.0,0.0,11.0,0.0,False,0.0,-0.052437394857406616,0.0
62,True,14,1.0,0.0,0.07142857142857142,0.0,0.0,0.0,14.0,0.0,True,True,14,1.0,1.83229598402977,0.07142857142857142,0.130878284573555,0.0,0.0,14.0,0.0,False,0.0,-0.130878284573555,0.0
63,True,14,0.0,0.40014979243278515,0.0,0.028582128030913225,0.0,0.0,14.0,0.0,True,True,14,1.0,1.038046807050705,0.07142857142857142,0.07414620050362178,0.0,0.0,14.0,0.0,False,-0.07142857142857142,-0.04556407247270855,0.0
64,True,13,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,True,True,13,1.0,0.0,0.07692307692307693,0.0,0.0,0.0,13.0,0.0,True,-0.07692307692307693,0.0,0.0
65,True,12,1.0,0.43344300985336315,0.08333333333333333,0.03612025082111359,0.0,0.0,12.0,0.0,True,True,12,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,True,0.08333333333333333,0.03612025082111359,0.0
66,True,14,6.0,1.053765594959259,0.42857142857142855,0.0752689710685185,0.0,1.0,14.0,0.0,False,True,14,3.0,0.7699519991874695,0.21428571428571427,0.054996571370533535,0.0,1.0,14.0,0.0,False,0.21428571428571427,0.020272399697984965,0.0
67,True,11,1.0,0.6516311764717103,0.09090909090909091,0.059239197861064574,0.0,0.0,11.0,0.0,False,True,11,0.0,0.226655662059784,0.0,0.02060506018725309,0.0,0.0,11.0,0.0,True,0.09090909090909091,0.038634137673811485,0.0
68,True,12,6.0,0.0013760328292847235,0.5,0.00011466940244039363,0.0,1.0,12.0,0.0,False,True,12,1.0,0.9849448800086975,0.08333333333333333,0.08207874000072479,0.0,1.0,12.0,0.0,False,0.4166666666666667,-0.0819640705982844,0.0
69,True,13,2.0,0.40099492669105535,0.15384615384615385,0.030845763591619644,0.0,0.0,13.0,0.0,False,True,13,1.0,0.0,0.07692307692307693,0.0,0.0,0.0,13.0,0.0,True,0.07692307692307693,0.030845763591619644,0.0
70,True,12,1.0,1.4291102886199951,0.08333333333333333,0.11909252405166626,0.0,1.0,12.0,0.0,False,True,12,1.0,0.8836101591587067,0.08333333333333333,0.07363417992989223,0.0,1.0,12.0,0.0,False,0.0,0.04545834412177403,0.0
71,True,12,1.0,2.2314474880695343,0.08333333333333333,0.18595395733912787,0.0,0.0,12.0,0.0,False,True,12,1.0,0.0,0.08333333333333333,0.0,0.0,0.0,12.0,0.0,True,0.0,0.18595395733912787,0.0
72,True,11,1.0,0.797615021467209,0.09090909090909091,0.072510456497019,0.0,0.0,11.0,0.0,False,True,11,0.0,0.6456800997257233,0.0,0.05869819088415666,0.0,0.0,11.0,0.0,False,0.09090909090909091,0.013812265612862334,0.0
73,True,12,0.0,0.034776836633682306,0.0,0.0028980697194735255,0.0,0.0,12.0,0.0,True,True,12,2.0,0.0,0.16666666666666666,0.0,0.0,0.0,12.0,0.0,False,-0.16666666666666666,0.0028980697194735255,0.0
74,True,13,4.0,0.0,0.3076923076923077,0.0,0.0,1.0,13.0,0.0,False,True,13,2.0,0.193115383386612,0.15384615384615385,0.014855029491277845,0.0,1.0,13.0,0.0,False,0.15384615384615385,-0.014855029491277845,0.0
75,True,14,3.0,0.31675598025321966,0.21428571428571427,0.02262542716094426,0.0,0.0,14.0,0.0,False,True,14,1.0,0.5215579867362976,0.07142857142857142,0.03725414190973554,0.0,0.0,14.0,0.0,True,0.14285714285714285,-0.01462871474879128,0.0
76,True,11,1.0,0.0,0.09090909090909091,0.0,0.0,0.0,11.0,0.0,True,True,11,2.0,0.0,0.18181818181818182,0.0,0.0,0.0,11.0,0.0,False,-0.09090909090909091,0.0,0.0
77,True,10,1.0,1.8887299597263336,0.1,0.18887299597263335,0.8582576215267181,0.0,10.0,0.0,False,True,10,1.0,1.8887299597263336,0.1,0.18887299597263335,0.8582576215267181,0.0,10.0,0.0,False,0.0,0.0,0.0
78,True,12,3.0,0.0,0.25,0.0,0.0,1.0,12.0,0.0,False,True,12,2.0,0.0,0.16666666666666666,0.0,0.0,1.0,12.0,0.0,False,0.08333333333333334,0.0,0.0
79,True,11,1.0,0.0,0.09090909090909091,0.0,0.0,0.0,11.0,0.0,True,True,11,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,True,0.09090909090909091,0.0,0.0
80,True,12,1.0,0.8669988512992859,0.08333333333333333,0.07224990427494049,0.0,0.0,12.0,0.0,False,True,12,0.0,0.3839830160140992,0.0,0.0319985846678416,0.0,0.0,12.0,0.0,True,0.08333333333333333,0.04025131960709889,0.0
81,True,10,1.0,0.0,0.1,0.0,0.0,0.0,10.0,0.0,True,True,10,1.0,0.0,0.1,0.0,0.0,0.0,10.0,0.0,True,0.0,0.0,0.0
82,True,13,2.0,0.3015991151332856,0.15384615384615385,0.02319993193332966,0.0,2.0,13.0,0.0,False,True,13,2.0,0.3015991151332856,0.15384615384615385,0.02319993193332966,0.0,2.0,13.0,0.0,False,0.0,0.0,0.0
83,True,12,2.0,0.0,0.16666666666666666,0.0,0.0,0.0,12.0,0.0,False,True,12,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,True,0.16666666666666666,0.0,0.0
84,True,12,1.0,0.0,0.08333333333333333,0.0,0.0,1.0,12.0,0.0,True,True,12,1.0,0.0,0.08333333333333333,0.0,0.0,1.0,12.0,0.0,True,0.0,0.0,0.0
85,True,13,1.0,1.2624540627002716,0.07692307692307693,0.09711185097694397,0.0,0.0,13.0,0.0,False,True,13,2.0,0.0,0.15384615384615385,0.0,0.0,0.0,13.0,0.0,False,-0.07692307692307693,0.09711185097694397,0.0
86,True,12,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,True,True,12,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,True,0.0,0.0,0.0
87,True,13,2.0,1.1251802444458008,0.15384615384615385,0.08655232649583083,0.0,0.0,13.0,0.0,False,True,13,1.0,0.01777774095535284,0.07692307692307693,0.0013675185350271414,0.0,0.0,13.0,0.0,True,0.07692307692307693,0.08518480796080369,0.0
88,True,14,2.0,0.9398362636566162,0.14285714285714285,0.0671311616897583,0.0,0.0,14.0,0.0,False,True,14,1.0,0.3162375688552857,0.07142857142857142,0.02258839777537755,0.0,0.0,14.0,0.0,True,0.07142857142857142,0.04454276391438075,0.0
89,True,12,4.0,0.5694970190525056,0.3333333333333333,0.047458084921042136,0.0,0.0,12.0,0.0,False,True,12,1.0,0.3225981891155244,0.08333333333333333,0.0268831824262937,0.0,0.0,12.0,0.0,True,0.25,0.020574902494748436,0.0
90,True,11,2.0,0.0993396937847138,0.18181818181818182,0.0090308812531558,0.0,0.0,11.0,0.0,False,True,11,1.0,0.0,0.09090909090909091,0.0,0.0,0.0,11.0,0.0,True,0.09090909090909091,0.0090308812531558,0.0
91,True,12,3.0,2.233569860458374,0.25,0.1861308217048645,0.8336693644523621,0.0,12.0,0.0,False,True,12,0.0,0.8863749802112579,0.0,0.0738645816842715,0.8336693644523621,0.0,12.0,0.0,False,0.25,0.112266240020593,0.0
92,True,13,1.0,1.6927439272403717,0.07692307692307693,0.13021107132618243,0.0,0.0,13.0,0.0,False,True,13,1.0,0.9472506940364838,0.07692307692307693,0.07286543800280644,0.0,0.0,13.0,0.0,False,0.0,0.057345633323375986,0.0
